Peak Time,Load MW,Forecast MW,Degrees F,Day,DoW,Month,Hour
2020-01-01 19:00:00-05:00,92443,96136,41,1,2,1,19
2020-01-02 07:00:00-05:00,100370,99181,36,2,3,1,7
2020-01-03 17:00:00-05:00,93403,93885,51,3,4,1,17
2020-01-04 18:00:00-05:00,90368,89886,50,4,5,1,18
2020-01-05 18:00:00-05:00,97376,93630,42,5,6,1,18
2020-01-06 07:00:00-05:00,101426,99784,38,6,0,1,7
2020-01-07 18:00:00-05:00,105396,105362,41,7,1,1,18
2020-01-08 18:00:00-05:00,107918,109271,38,8,2,1,18
2020-01-09 07:00:00-05:00,112315,112138,32,9,3,1,7
2020-01-10 07:00:00-05:00,98756,99125,45,10,4,1,7
2020-01-11 18:00:00-05:00,83748,85282,66,11,5,1,18
2020-01-12 18:00:00-05:00,87128,87029,51,12,6,1,18
2020-01-13 18:00:00-05:00,97224,96648,50,13,0,1,18
2020-01-14 18:00:00-05:00,97109,96532,50,14,1,1,18
2020-01-15 07:00:00-05:00,94886,94708,41,15,2,1,7
2020-01-16 18:00:00-05:00,102862,103057,43,16,3,1,18
2020-01-17 07:00:00-05:00,109145,107311,32,17,4,1,7
2020-01-18 17:00:00-05:00,102073,97383,42,18,5,1,17
2020-01-19 18:00:00-05:00,105600,104307,37,19,6,1,18
2020-01-20 18:00:00-05:00,114847,112786,32,20,0,1,18
2020-01-21 07:00:00-05:00,119139,117866,32,21,1,1,7
2020-01-22 07:00:00-05:00,119546,116707,32,22,2,1,7
2020-01-23 07:00:00-05:00,112623,111854,32,23,3,1,7
2020-01-24 07:00:00-05:00,101590,102940,41,24,4,1,7
2020-01-25 18:00:00-05:00,92317,93267,46,25,5,1,18
2020-01-26 18:00:00-05:00,95779,95428,46,26,6,1,18
2020-01-27 18:00:00-05:00,102882,103338,45,27,0,1,18
2020-01-28 18:00:00-05:00,104642,105926,40,28,1,1,18
2020-01-29 18:00:00-05:00,104540,106084,40,29,2,1,18
2020-01-30 07:00:00-05:00,108446,109534,32,30,3,1,7
2020-01-31 07:00:00-05:00,104297,106157,33,31,4,1,7
2020-02-01 18:00:00-05:00,92590,94289,46,1,5,2,18
2020-02-02 18:00:00-05:00,88733,90850,51,2,6,2,18
2020-02-03 07:00:00-05:00,95100,95289,42,3,0,2,7
2020-02-04 18:00:00-05:00,93791,94748,54,4,1,2,18
2020-02-05 18:00:00-05:00,101839,102676,41,5,2,2,18
2020-02-06 18:00:00-05:00,101168,98318,47,6,3,2,18
2020-02-07 18:00:00-05:00,102973,100686,43,7,4,2,18
2020-02-08 18:00:00-05:00,96111,96232,40,8,5,2,18
2020-02-09 19:00:00-05:00,94775,94355,46,9,6,2,19
2020-02-10 18:00:00-05:00,99348,99402,47,10,0,2,18
2020-02-11 18:00:00-05:00,97351,98240,47,11,1,2,18
2020-02-12 18:00:00-05:00,102049,101199,46,12,2,2,18
2020-02-13 19:00:00-05:00,101883,100285,44,13,3,2,19
2020-02-14 19:00:00-05:00,109532,110327,36,14,4,2,19
2020-02-15 07:00:00-05:00,107439,107764,32,15,5,2,7
2020-02-16 19:00:00-05:00,91519,95018,46,16,6,2,19
2020-02-17 07:00:00-05:00,98307,103126,34,17,0,2,7
2020-02-18 07:00:00-05:00,96515,97877,45,18,1,2,7
2020-02-19 19:00:00-05:00,100372,102972,38,19,2,2,19
2020-02-20 19:00:00-05:00,108980,109879,37,20,3,2,19
2020-02-21 07:00:00-05:00,114998,114575,32,21,4,2,7
2020-02-22 07:00:00-05:00,99707,98791,32,22,5,2,7
2020-02-23 07:00:00-05:00,90471,88909,32,23,6,2,7
2020-02-24 07:00:00-05:00,98301,97354,41,24,0,2,7
2020-02-25 18:00:00-05:00,95187,96137,50,25,1,2,18
2020-02-26 18:00:00-05:00,97748,97456,51,26,2,2,18
2020-02-27 19:00:00-05:00,107068,105437,38,27,3,2,19
2020-02-28 07:00:00-05:00,106102,106775,32,28,4,2,7
2020-02-29 19:00:00-05:00,98738,99078,37,29,5,2,19
2020-03-01 07:00:00-05:00,93916,93348,32,1,6,3,7
2020-03-02 07:00:00-05:00,96467,97803,44,2,0,3,7
2020-03-03 19:00:00-05:00,91499,91406,55,3,1,3,19
2020-03-04 07:00:00-05:00,92736,91145,46,4,2,3,7
2020-03-05 07:00:00-05:00,95256,96410,38,5,3,3,7
2020-03-06 18:00:00-05:00,97426,97796,46,6,4,3,18
2020-03-07 08:00:00-05:00,89326,89810,37,7,5,3,8
2020-03-08 08:00:00-04:00,87108,84671,32,8,6,3,8
2020-03-09 07:00:00-04:00,92954,89937,44,9,0,3,7
2020-03-10 20:00:00-04:00,87512,88072,60,10,1,3,20
2020-03-11 20:00:00-04:00,88617,89444,55,11,2,3,20
2020-03-12 08:00:00-04:00,90816,89528,48,12,3,3,8
2020-03-13 09:00:00-04:00,85939,85549,55,13,4,3,9
2020-03-14 20:00:00-04:00,84534,84413,51,14,5,3,20
2020-03-15 20:00:00-04:00,85473,88653,47,15,6,3,20
2020-03-16 08:00:00-04:00,94794,93004,39,16,0,3,8
2020-03-17 09:00:00-04:00,91400,91905,49,17,1,3,9
2020-03-18 08:00:00-04:00,89123,92464,41,18,2,3,8
2020-03-19 10:00:00-04:00,86279,86895,58,19,3,3,10
2020-03-20 19:00:00-04:00,83691,86369,68,20,4,3,19
2020-03-21 20:00:00-04:00,83322,85021,46,21,5,3,20
2020-03-22 20:00:00-04:00,84023,86823,50,22,6,3,20
2020-03-23 11:00:00-04:00,91963,92682,45,23,0,3,11
2020-03-24 08:00:00-04:00,87005,91912,46,24,1,3,8
2020-03-25 10:00:00-04:00,87498,89870,49,25,2,3,10
2020-03-26 08:00:00-04:00,84017,89655,44,26,3,3,8
2020-03-27 20:00:00-04:00,78122,81175,64,27,4,3,20
2020-03-28 19:00:00-04:00,78619,77288,63,28,5,3,19
2020-03-29 20:00:00-04:00,77850,78731,64,29,6,3,20
2020-03-30 20:00:00-04:00,81114,85352,55,30,0,3,20
2020-03-31 19:00:00-04:00,85673,88664,50,31,1,3,19
2020-04-01 09:00:00-04:00,84700,88328,46,1,2,4,9
2020-04-02 07:00:00-04:00,83057,87137,41,2,3,4,7
2020-04-03 08:00:00-04:00,80351,84599,46,3,4,4,8
2020-04-04 20:00:00-04:00,74066,75580,59,4,5,4,20
2020-04-05 20:00:00-04:00,74024,76227,63,5,6,4,20
2020-04-06 20:00:00-04:00,77352,82392,65,6,0,4,20
2020-04-07 20:00:00-04:00,78303,83227,67,7,1,4,20
2020-04-08 20:00:00-04:00,78104,83408,66,8,2,4,20
2020-04-09 20:00:00-04:00,78571,83555,55,9,3,4,20
2020-04-10 20:00:00-04:00,79807,83311,49,10,4,4,20
2020-04-11 20:00:00-04:00,73160,77084,57,11,5,4,20
2020-04-12 20:00:00-04:00,70815,75001,64,12,6,4,20
2020-04-13 12:00:00-04:00,79739,80501,63,13,0,4,12
2020-04-14 20:00:00-04:00,80855,84604,54,14,1,4,20
2020-04-15 08:00:00-04:00,84570,87000,43,15,2,4,8
2020-04-16 08:00:00-04:00,83255,88215,42,16,3,4,8
2020-04-17 08:00:00-04:00,83097,85953,41,17,4,4,8
2020-04-18 20:00:00-04:00,75651,76515,55,18,5,4,20
2020-04-19 20:00:00-04:00,72484,75222,57,19,6,4,20
2020-04-20 10:00:00-04:00,78031,80520,54,20,0,4,10
2020-04-21 20:00:00-04:00,78678,82858,54,21,1,4,20
2020-04-22 08:00:00-04:00,81888,83056,40,22,2,4,8
2020-04-23 09:00:00-04:00,78923,80844,51,23,3,4,9
2020-04-24 11:00:00-04:00,78400,78474,58,24,4,4,11
2020-04-25 20:00:00-04:00,72563,72498,63,25,5,4,20
2020-04-26 20:00:00-04:00,74988,74772,57,26,6,4,20
2020-04-27 09:00:00-04:00,80188,80555,50,27,0,4,9
2020-04-28 20:00:00-04:00,76632,81432,61,28,1,4,20
2020-04-29 20:00:00-04:00,77227,80320,65,29,2,4,20
2020-04-30 12:00:00-04:00,79331,79404,62,30,3,4,12
2020-05-01 10:00:00-04:00,75682,77971,60,1,4,5,10
2020-05-02 20:00:00-04:00,70762,72492,68,2,5,5,20
2020-05-03 20:00:00-04:00,74597,75116,71,3,6,5,20
2020-05-04 20:00:00-04:00,76150,79528,59,4,0,5,20
2020-05-05 20:00:00-04:00,77118,80517,55,5,1,5,20
2020-05-06 11:00:00-04:00,79138,80399,54,6,2,5,11
2020-05-07 08:00:00-04:00,76817,79056,48,7,3,5,8
2020-05-08 12:00:00-04:00,78685,79098,55,8,4,5,12
2020-05-09 21:00:00-04:00,76399,75011,50,9,5,5,21
2020-05-10 20:00:00-04:00,71183,74516,58,10,6,5,20
2020-05-11 11:00:00-04:00,80266,81043,54,11,0,5,11
2020-05-12 08:00:00-04:00,79321,81114,46,12,1,5,8
2020-05-13 08:00:00-04:00,77534,79830,49,13,2,5,8
2020-05-14 20:00:00-04:00,77699,78851,70,14,3,5,20
2020-05-15 17:00:00-04:00,85099,85627,80,15,4,5,17
2020-05-16 17:00:00-04:00,79969,79575,76,16,5,5,17
2020-05-17 18:00:00-04:00,76891,77481,76,17,6,5,18
2020-05-18 13:00:00-04:00,80650,81856,70,18,0,5,13
2020-05-19 13:00:00-04:00,77246,80212,66,19,1,5,13
2020-05-20 12:00:00-04:00,77266,78780,63,20,2,5,12
2020-05-21 17:00:00-04:00,76908,78045,67,21,3,5,17
2020-05-22 17:00:00-04:00,79615,79140,74,22,4,5,17
2020-05-23 18:00:00-04:00,82120,78701,76,23,5,5,18
2020-05-24 18:00:00-04:00,82917,77421,69,24,6,5,18
2020-05-25 17:00:00-04:00,90111,83319,79,25,0,5,17
2020-05-26 17:00:00-04:00,107919,101398,70,26,1,5,17
2020-05-27 16:00:00-04:00,105157,103441,83,27,2,5,16
2020-05-28 17:00:00-04:00,104374,103405,83,28,3,5,17
2020-05-29 14:00:00-04:00,103033,100593,80,29,4,5,14
2020-05-30 17:00:00-04:00,87390,86181,79,30,5,5,17
2020-05-31 18:00:00-04:00,76468,76437,72,31,6,5,18
2020-06-01 18:00:00-04:00,83084,84058,75,1,0,6,18
2020-06-02 18:00:00-04:00,101086,95918,78,2,1,6,18
2020-06-03 17:00:00-04:00,114658,117865,89,3,2,6,17
2020-06-04 17:00:00-04:00,118881,119868,80,4,3,6,17
2020-06-05 16:00:00-04:00,116733,117831,89,5,4,6,16
2020-06-06 17:00:00-04:00,112540,103633,85,6,5,6,17
2020-06-07 18:00:00-04:00,96988,94491,82,7,6,6,18
2020-06-08 17:00:00-04:00,111207,106588,85,8,0,6,17
2020-06-09 17:00:00-04:00,127153,123607,90,9,1,6,17
2020-06-10 15:00:00-04:00,130864,125336,90,10,2,6,15
2020-06-11 17:00:00-04:00,110577,112517,83,11,3,6,17
2020-06-12 17:00:00-04:00,108354,106147,82,12,4,6,17
2020-06-13 17:00:00-04:00,84721,83618,75,13,5,6,17
2020-06-14 18:00:00-04:00,81055,80889,74,14,6,6,18
2020-06-15 17:00:00-04:00,91717,90574,75,15,0,6,17
2020-06-16 17:00:00-04:00,98419,96494,78,16,1,6,17
2020-06-17 17:00:00-04:00,100159,101246,78,17,2,6,17
2020-06-18 17:00:00-04:00,108371,106987,83,18,3,6,17
2020-06-19 16:00:00-04:00,113666,110370,83,19,4,6,16
2020-06-20 17:00:00-04:00,108284,106650,86,20,5,6,17
2020-06-21 17:00:00-04:00,111414,112138,84,21,6,6,17
2020-06-22 16:00:00-04:00,124103,129467,88,22,0,6,16
2020-06-23 17:00:00-04:00,120438,131655,88,23,1,6,17
2020-06-24 17:00:00-04:00,112527,127739,82,24,2,6,17
2020-06-25 17:00:00-04:00,112328,117187,82,25,3,6,17
2020-06-26 16:00:00-04:00,115132,124678,86,26,4,6,16
2020-06-27 17:00:00-04:00,112685,118493,92,27,5,6,17
2020-06-28 17:00:00-04:00,118792,119432,92,28,6,6,17
2020-06-29 16:00:00-04:00,130406,131880,93,29,0,6,16
2020-06-30 17:00:00-04:00,126301,128314,88,30,1,6,17
2020-07-01 16:00:00-04:00,125286,127490,88,1,2,7,16
2020-07-02 17:00:00-04:00,132350,134947,95,2,3,7,17
2020-07-03 17:00:00-04:00,133871,129761,95,3,4,7,17
2020-07-04 16:00:00-04:00,124888,124249,95,4,5,7,16
2020-07-05 17:00:00-04:00,130611,130255,95,5,6,7,17
2020-07-06 14:00:00-04:00,141453,139747,95,6,0,7,14
2020-07-07 16:00:00-04:00,135680,138708,95,7,1,7,16
2020-07-08 16:00:00-04:00,138748,138370,95,8,2,7,16
2020-07-09 17:00:00-04:00,143473,136806,94,9,3,7,17
2020-07-10 15:00:00-04:00,127262,127195,90,10,4,7,15
2020-07-11 17:00:00-04:00,122179,121961,92,11,5,7,17
2020-07-12 17:00:00-04:00,116317,117571,83,12,6,7,17
2020-07-13 17:00:00-04:00,127720,123904,86,13,0,7,17
2020-07-14 17:00:00-04:00,130235,129370,92,14,1,7,17
2020-07-15 17:00:00-04:00,132559,134522,90,15,2,7,17
2020-07-16 17:00:00-04:00,127880,129526,90,16,3,7,17
2020-07-17 17:00:00-04:00,137386,134995,95,17,4,7,17
2020-07-18 17:00:00-04:00,138131,135702,95,18,5,7,17
2020-07-19 17:00:00-04:00,135634,139351,95,19,6,7,17
2020-07-20 16:00:00-04:00,144574,144842,86,20,0,7,16
2020-07-21 16:00:00-04:00,140999,140545,94,21,1,7,16
2020-07-22 15:00:00-04:00,136820,139599,93,22,2,7,15
2020-07-23 16:00:00-04:00,133764,133316,91,23,3,7,16
2020-07-24 16:00:00-04:00,127583,129097,93,24,4,7,16
2020-07-25 17:00:00-04:00,132434,127386,93,25,5,7,17
2020-07-26 17:00:00-04:00,139349,136530,95,26,6,7,17
2020-07-27 16:00:00-04:00,143756,145057,95,27,0,7,16
2020-07-28 17:00:00-04:00,140138,140819,92,28,1,7,17
2020-07-29 17:00:00-04:00,141047,141905,95,29,2,7,17
2020-07-30 15:00:00-04:00,134059,138711,91,30,3,7,15
2020-07-31 17:00:00-04:00,119944,119883,86,31,4,7,17
2020-08-01 17:00:00-04:00,116798,116079,86,1,5,8,17
2020-08-02 17:00:00-04:00,120682,120244,90,2,6,8,17
2020-08-03 15:00:00-04:00,122259,120507,86,3,0,8,15
2020-08-04 17:00:00-04:00,108224,108991,79,4,1,8,17
2020-08-05 17:00:00-04:00,116327,115250,84,5,2,8,17
2020-08-06 16:00:00-04:00,114903,112507,86,6,3,8,16
2020-08-07 16:00:00-04:00,117452,112105,86,7,4,8,16
2020-08-08 17:00:00-04:00,118135,113335,86,8,5,8,17
2020-08-09 17:00:00-04:00,129459,123921,94,9,6,8,17
2020-08-10 15:00:00-04:00,140714,138369,95,10,0,8,15
2020-08-11 17:00:00-04:00,138100,136244,93,11,1,8,17
2020-08-12 15:00:00-04:00,133593,135826,92,12,2,8,15
2020-08-13 17:00:00-04:00,128725,128405,88,13,3,8,17
2020-08-14 15:00:00-04:00,129150,126835,86,14,4,8,15
2020-08-15 16:00:00-04:00,108039,111110,86,15,5,8,16
2020-08-16 17:00:00-04:00,101507,103648,82,16,6,8,17
2020-08-17 16:00:00-04:00,118051,115906,86,17,0,8,16
2020-08-18 17:00:00-04:00,115793,115326,85,18,1,8,17
2020-08-19 17:00:00-04:00,113958,111837,84,19,2,8,17
2020-08-20 17:00:00-04:00,118071,114138,86,20,3,8,17
2020-08-21 17:00:00-04:00,121952,119590,86,21,4,8,17
2020-08-22 17:00:00-04:00,120539,117732,86,22,5,8,17
2020-08-23 17:00:00-04:00,124717,123986,91,23,6,8,17
2020-08-24 16:00:00-04:00,140518,137757,92,24,0,8,16
2020-08-25 16:00:00-04:00,138958,141975,94,25,1,8,16
2020-08-26 17:00:00-04:00,130025,136309,89,26,2,8,17
2020-08-27 16:00:00-04:00,141036,144638,93,27,3,8,16
2020-08-28 15:00:00-04:00,133232,137965,91,28,4,8,15
2020-08-29 17:00:00-04:00,114355,113611,86,29,5,8,17
2020-08-30 17:00:00-04:00,102187,102986,85,30,6,8,17
2020-08-31 17:00:00-04:00,105774,108204,81,31,0,8,17
2020-09-01 17:00:00-04:00,111677,111406,86,1,1,9,17
2020-09-02 16:00:00-04:00,124294,123273,87,2,2,9,16
2020-09-03 16:00:00-04:00,126707,129450,91,3,3,9,16
2020-09-04 16:00:00-04:00,116910,114290,85,4,4,9,16
2020-09-05 17:00:00-04:00,97864,97158,86,5,5,9,17
2020-09-06 17:00:00-04:00,97581,100715,86,6,6,9,17
2020-09-07 17:00:00-04:00,103400,105462,87,7,0,9,17
2020-09-08 16:00:00-04:00,119869,119863,90,8,1,9,16
2020-09-09 16:00:00-04:00,115420,116285,88,9,2,9,16
2020-09-10 16:00:00-04:00,115849,112844,86,10,3,9,16
2020-09-11 14:00:00-04:00,102315,103557,83,11,4,9,14
2020-09-12 17:00:00-04:00,93750,93483,82,12,5,9,17
2020-09-13 17:00:00-04:00,97578,97502,85,13,6,9,17
2020-09-14 15:00:00-04:00,98522,102219,83,14,0,9,15
2020-09-15 17:00:00-04:00,87680,93345,78,15,1,9,17
2020-09-16 17:00:00-04:00,91607,96268,81,16,2,9,17
2020-09-17 16:00:00-04:00,90401,93437,83,17,3,9,16
2020-09-18 13:00:00-04:00,84595,85799,74,18,4,9,13
2020-09-19 20:00:00-04:00,73992,75061,67,19,5,9,20
2020-09-20 20:00:00-04:00,75792,76539,64,20,6,9,20
2020-09-21 19:00:00-04:00,82770,83794,70,21,0,9,19
2020-09-22 19:00:00-04:00,84425,84733,72,22,1,9,19
2020-09-23 17:00:00-04:00,89755,90895,83,23,2,9,17
2020-09-24 17:00:00-04:00,88627,93952,78,24,3,9,17
2020-09-25 16:00:00-04:00,90277,92546,76,25,4,9,16
2020-09-26 19:00:00-04:00,85252,88883,75,26,5,9,19
2020-09-27 19:00:00-04:00,89257,91838,75,27,6,9,19
2020-09-28 16:00:00-04:00,98353,100041,79,28,0,9,16
2020-09-29 14:00:00-04:00,90760,92549,71,29,1,9,14
2020-09-30 19:00:00-04:00,84183,85609,67,30,2,9,19
2020-10-01 19:00:00-04:00,84364,85566,64,1,3,10,19
2020-10-02 10:00:00-04:00,80489,80378,55,2,4,10,10
2020-10-03 19:00:00-04:00,75128,74723,63,3,5,10,19
2020-10-04 19:00:00-04:00,77097,76152,63,4,6,10,19
2020-10-05 19:00:00-04:00,83692,83911,63,5,0,10,19
2020-10-06 19:00:00-04:00,84553,83908,66,6,1,10,19
2020-10-07 19:00:00-04:00,87961,87033,73,7,2,10,19
2020-10-08 19:00:00-04:00,84058,85127,66,8,3,10,19
2020-10-09 19:00:00-04:00,82359,82884,68,9,4,10,19
2020-10-10 19:00:00-04:00,79090,81146,74,10,5,10,19
2020-10-11 19:00:00-04:00,79586,82633,68,11,6,10,19
2020-10-12 19:00:00-04:00,86971,88441,63,12,0,10,19
2020-10-13 19:00:00-04:00,84749,85644,66,13,1,10,19
2020-10-14 19:00:00-04:00,85127,84596,68,14,2,10,19
2020-10-15 19:00:00-04:00,85653,85261,64,15,3,10,19
2020-10-16 10:00:00-04:00,83026,81645,53,16,4,10,10
2020-10-17 19:00:00-04:00,76865,75441,56,17,5,10,19
2020-10-18 19:00:00-04:00,78598,76547,57,18,6,10,19
2020-10-19 19:00:00-04:00,86000,84751,62,19,0,10,19
2020-10-20 19:00:00-04:00,87216,85691,64,20,1,10,19
2020-10-21 19:00:00-04:00,88755,89004,71,21,2,10,19
2020-10-22 19:00:00-04:00,90819,91077,72,22,3,10,19
2020-10-23 14:00:00-04:00,87527,87128,72,23,4,10,14
2020-10-24 19:00:00-04:00,79214,79000,59,24,5,10,19
2020-10-25 19:00:00-04:00,81204,81731,54,25,6,10,19
2020-10-26 18:00:00-04:00,87925,86156,61,26,0,10,18
2020-10-27 19:00:00-04:00,87249,86328,54,27,1,10,19
2020-10-28 18:00:00-04:00,87184,85086,62,28,2,10,18
2020-10-29 18:00:00-04:00,89195,86849,55,29,3,10,18
2020-10-30 10:00:00-04:00,87368,85530,49,30,4,10,10
2020-10-31 09:00:00-04:00,82372,81790,41,31,5,10,9
2020-11-01 18:00:00-05:00,85467,84021,51,1,6,11,18
2020-11-02 18:00:00-05:00,96498,93668,47,2,0,11,18
2020-11-03 07:00:00-05:00,90709,92353,45,3,1,11,7
2020-11-04 07:00:00-05:00,88523,88535,48,4,2,11,7
2020-11-05 18:00:00-05:00,86097,86539,57,5,3,11,18
2020-11-06 18:00:00-05:00,83699,83058,64,6,4,11,18
2020-11-07 18:00:00-05:00,78284,77752,64,7,5,11,18
2020-11-08 18:00:00-05:00,80323,79427,65,8,6,11,18
2020-11-09 18:00:00-05:00,88985,87792,65,9,0,11,18
2020-11-10 18:00:00-05:00,89819,90122,65,10,1,11,18
2020-11-11 18:00:00-05:00,89676,89933,63,11,2,11,18
2020-11-12 18:00:00-05:00,88821,87436,56,12,3,11,18
2020-11-13 18:00:00-05:00,87430,85860,54,13,4,11,18
2020-11-14 18:00:00-05:00,84049,82451,50,14,5,11,18
2020-11-15 18:00:00-05:00,83838,83490,54,15,6,11,18
2020-11-16 18:00:00-05:00,92195,92132,49,16,0,11,18
2020-11-17 18:00:00-05:00,98750,94705,46,17,1,11,18
2020-11-18 18:00:00-05:00,100144,97404,42,18,2,11,18
2020-11-19 07:00:00-05:00,99856,98288,36,19,3,11,7
2020-11-20 07:00:00-05:00,89038,88900,43,20,4,11,7
2020-11-21 18:00:00-05:00,83029,81786,54,21,5,11,18
2020-11-22 18:00:00-05:00,85501,84579,54,22,6,11,18
2020-11-23 18:00:00-05:00,94705,95015,47,23,0,11,18
2020-11-24 18:00:00-05:00,95176,95941,49,24,1,11,18
2020-11-25 17:00:00-05:00,90443,92084,57,25,2,11,17
2020-11-26 11:00:00-05:00,79207,78768,61,26,3,11,11
2020-11-27 18:00:00-05:00,81827,81231,54,27,4,11,18
2020-11-28 18:00:00-05:00,83852,83708,48,28,5,11,18
2020-11-29 18:00:00-05:00,86496,85206,49,29,6,11,18
2020-11-30 17:00:00-05:00,97907,94406,56,30,0,11,17
2020-12-01 18:00:00-05:00,105655,100291,43,1,1,12,18
2020-12-02 18:00:00-05:00,103573,98517,45,2,2,12,18
2020-12-03 07:00:00-05:00,103234,101381,36,3,3,12,7
2020-12-04 17:00:00-05:00,95836,94125,49,4,4,12,17
2020-12-05 18:00:00-05:00,95438,92639,45,5,5,12,18
2020-12-06 18:00:00-05:00,97974,95301,40,6,6,12,18
2020-12-07 18:00:00-05:00,109393,104853,39,7,0,12,18
2020-12-08 18:00:00-05:00,108653,104439,40,8,1,12,18
2020-12-09 08:00:00-05:00,105192,102392,39,9,2,12,8
2020-12-10 08:00:00-05:00,101876,100128,38,10,3,12,8
2020-12-11 08:00:00-05:00,97654,96155,41,11,4,12,8
2020-12-12 18:00:00-05:00,88109,87002,57,12,5,12,18
2020-12-13 18:00:00-05:00,90562,89961,52,13,6,12,18
2020-12-14 18:00:00-05:00,107686,104873,41,14,0,12,18
2020-12-15 18:00:00-05:00,109334,108287,38,15,1,12,18
2020-12-16 17:00:00-05:00,114443,109528,40,16,2,12,17
2020-12-17 18:00:00-05:00,111017,110341,38,17,3,12,18
2020-12-18 18:00:00-05:00,109305,107184,35,18,4,12,18
2020-12-19 18:00:00-05:00,103003,100279,37,19,5,12,18
2020-12-20 18:00:00-05:00,99749,99554,41,20,6,12,18
2020-12-21 18:00:00-05:00,103686,104726,42,21,0,12,18
2020-12-22 18:00:00-05:00,102743,105001,41,22,1,12,18
2020-12-23 08:00:00-05:00,102556,102770,36,23,2,12,8
2020-12-24 17:00:00-05:00,93575,92571,50,24,3,12,17
2020-12-25 18:00:00-05:00,102772,98783,37,25,4,12,18
2020-12-26 18:00:00-05:00,105423,104283,33,26,5,12,18
2020-12-27 18:00:00-05:00,99626,99664,43,27,6,12,18
2020-12-28 18:00:00-05:00,101141,105510,44,28,0,12,18
2020-12-29 18:00:00-05:00,107056,110809,38,29,1,12,18
2020-12-30 08:00:00-05:00,101455,107241,35,30,2,12,8
2020-12-31 17:00:00-05:00,97198,103993,46,31,3,12,17
2021-01-01 17:00:00-05:00,97461,97946,44,1,4,1,17
2021-01-02 18:00:00-05:00,90839,91123,46,2,5,1,18
2021-01-03 18:00:00-05:00,97077,96892,41,3,6,1,18
2021-01-04 18:00:00-05:00,103742,103901,41,4,0,1,18
2021-01-05 18:00:00-05:00,105136,104887,41,5,1,1,18
2021-01-06 18:00:00-05:00,106016,105384,41,6,2,1,18
2021-01-07 18:00:00-05:00,105152,104843,40,7,3,1,18
2021-01-08 18:00:00-05:00,106137,104073,39,8,4,1,18
2021-01-09 18:00:00-05:00,99356,97796,39,9,5,1,18
2021-01-10 19:00:00-05:00,98658,97443,38,10,6,1,19
2021-01-11 08:00:00-05:00,109135,104300,32,11,0,1,8
2021-01-12 08:00:00-05:00,109251,105634,32,12,1,1,8
2021-01-13 08:00:00-05:00,108147,105811,32,13,2,1,8
2021-01-14 08:00:00-05:00,103678,102590,40,14,3,1,8
2021-01-15 08:00:00-05:00,101279,100975,41,15,4,1,8
2021-01-16 18:00:00-05:00,97797,96961,40,16,5,1,18
2021-01-17 18:00:00-05:00,96461,97840,45,17,6,1,18
2021-01-18 18:00:00-05:00,105942,106863,37,18,0,1,18
2021-01-19 08:00:00-05:00,105830,105783,33,19,1,1,8
2021-01-20 18:00:00-05:00,107957,110447,37,20,2,1,18
2021-01-21 08:00:00-05:00,107474,107837,33,21,3,1,8
2021-01-22 08:00:00-05:00,102903,103728,37,22,4,1,8
2021-01-23 18:00:00-05:00,104617,103404,33,23,5,1,18
2021-01-24 18:00:00-05:00,102962,101867,39,24,6,1,18
2021-01-25 18:00:00-05:00,108689,107816,41,25,0,1,18
2021-01-26 18:00:00-05:00,105255,103340,43,26,1,1,18
2021-01-27 18:00:00-05:00,107603,106805,38,27,2,1,18
2021-01-28 18:00:00-05:00,116129,113753,32,28,3,1,18
2021-01-29 08:00:00-05:00,117383,113721,32,29,4,1,8
2021-01-30 08:00:00-05:00,106864,107243,32,30,5,1,8
2021-01-31 18:00:00-05:00,107800,104669,35,31,6,1,18
2021-02-01 18:00:00-05:00,113695,112483,37,1,0,2,18
2021-02-02 18:00:00-05:00,112850,113167,37,2,1,2,18
2021-02-03 08:00:00-05:00,111544,111754,32,3,2,2,8
2021-02-04 07:00:00-05:00,112760,113704,32,4,3,2,7
2021-02-05 08:00:00-05:00,104625,105246,37,5,4,2,8
2021-02-06 19:00:00-05:00,98837,99519,38,6,5,2,19
2021-02-07 18:00:00-05:00,106570,106044,37,7,6,2,18
2021-02-08 08:00:00-05:00,116686,116366,32,8,0,2,8
2021-02-09 08:00:00-05:00,110441,112269,32,9,1,2,8
2021-02-10 18:00:00-05:00,111569,112830,37,10,2,2,18
2021-02-11 18:00:00-05:00,114420,113442,37,11,3,2,18
2021-02-12 09:00:00-05:00,114063,114037,32,12,4,2,9
2021-02-13 18:00:00-05:00,109007,108269,32,13,5,2,18
2021-02-14 18:00:00-05:00,106572,105895,37,14,6,2,18
2021-02-15 18:00:00-05:00,113485,113599,37,15,0,2,18
2021-02-16 19:00:00-05:00,110619,109828,37,16,1,2,19
2021-02-17 07:00:00-05:00,115912,117222,32,17,2,2,7
2021-02-18 10:00:00-05:00,114785,114069,32,18,3,2,10
2021-02-19 09:00:00-05:00,113403,110406,32,19,4,2,9
2021-02-20 19:00:00-05:00,108539,106610,32,20,5,2,19
2021-02-21 07:00:00-05:00,105194,101888,32,21,6,2,7
2021-02-22 10:00:00-05:00,109461,104946,40,22,0,2,10
2021-02-23 07:00:00-05:00,103877,101653,40,23,1,2,7
2021-02-24 07:00:00-05:00,100115,99683,41,24,2,2,7
2021-02-25 19:00:00-05:00,95428,100116,41,25,3,2,19
2021-02-26 07:00:00-05:00,99301,102874,33,26,4,2,7
